"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"1","3A",23,"Expérience > 6 mois",6,"Un ordinateur",3,2,"< 10",5,"Rarement","Oui","En grande partie","Oui",0,4,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"2","Enseignant",34,"Ça se compte en années",7,"Un ordinateur",3,2,"> 10",50,"Souvent","Non","Quasiment tous","Oui",5,100,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"3","1A",20,"Entre 1 et 6 mois",4,"Un smartphone",5,4,"< 3",2,"Rarement","Oui","Rarement","Oui",0,1,"Oui","Non","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"4","Autre",26,"Expérience > 6 mois",8,"Un ordinateur",2,2,"> 10",10,"Rarement","Oui","Rarement","Oui",0,3,"Parfois","Non","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"6","Enseignant",35,"Ça se compte en années",5,"Un ordinateur",2,2,"> 10",20,"Souvent","Oui","Rarement","Oui",0,50,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"7","Enseignant",56,"Ça se compte en années",8,"Un ordinateur",2,2,"> 30",30,"Souvent","Non","En grande partie","Oui",9526,30,"Parfois","Oui","Non","Pas tellement importante","Avoir 10.000 mails non lus","Oui, parfois"
"8","Personnel Administratif",51,"Ça se compte en années",1,"Un ordinateur",3,3,"< 10",10,"Souvent","Oui","Quasiment tous","Oui",1,100,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"9","Enseignant",35,"Ça se compte en années",2,"Un ordinateur",3,2,"> 30",20,"Souvent","Oui","En grande partie","Oui",0,50,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"10","1A",19,"Sans Expérience",1,"Une tablette",4,2,"< 3",4,"Rarement","Oui","Rarement","Oui",250,2,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, souvent"
"11","1A",20,"Entre 1 et 6 mois",9,"Un smartphone",4,3,"< 10",3,"Rarement","Oui","Rarement","Non",500,10,"Non","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"12","1A",19,"Sans Expérience",5,"Un ordinateur",3,2,"< 10",5,"Souvent","Oui","En grande partie","Oui",0,2,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"13","Autre",24,"Expérience > 6 mois",4,"Un smartphone",3,3,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,20,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"14","Autre",25,"Ça se compte en années",5,"Un smartphone",3,3,"> 30",5,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"15","Autre",45,"Ça se compte en années",4,"Un ordinateur",3,2,"> 30",20,"Souvent","Non","Quasiment tous","Oui",0,100,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"16","Enseignant",32,"Ça se compte en années",2,"Un ordinateur",5,5,"> 30",50,"Souvent","Non","Rarement","Oui",0,100,"Non","Oui","Non","Pas tellement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"17","Enseignant",38,"Ça se compte en années",7,"Un ordinateur",4,3,"> 30",20,"Souvent","Oui","En grande partie","Oui",10,50,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"18","Enseignant",47,"Ça se compte en années",6,"Un ordinateur",5,2,"> 10",70,"Souvent","Non","En grande partie","Oui",1000,200,"Non","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"19","1A",20,"Sans Expérience",8,"Un smartphone",3,2,"> 30",5,"Souvent","Oui","Rarement","Oui",0,1,"Parfois","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"20","Autre",29,"Ça se compte en années",8,"Un ordinateur",3,3,"> 30",20,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"21","Enseignant",36,"Ça se compte en années",4,"Un ordinateur",3,2,"> 30",50,"Souvent","Oui","En grande partie","Oui",1180,100,"Non","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"22","2A",22,"Ça se compte en années",2,"Un ordinateur",3,3,"< 3",5,"Souvent","Oui","En grande partie","Oui",30,1,"Parfois","Non","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"23","Autre",54,"Ça se compte en années",2,"Un ordinateur",2,2,"< 3",15,"Souvent","Oui","En grande partie","Non",10,10,"Oui","Oui","Non","Pas tellement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"24","Personnel Administratif",56,"Ça se compte en années",1,"Un ordinateur",3,3,"> 30",40,"Souvent","Non","En grande partie","Oui",0,30,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"25","Personnel Administratif",24,"Expérience > 6 mois",7,"Un ordinateur",3,2,"> 10",10,"Rarement","Oui","Rarement","Oui",0,20,"Oui","Parfois","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"26","1A",21,"Sans Expérience",5,"Un smartphone",3,2,"> 10",5,"Souvent","Non","En grande partie","Oui",0,4,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"28","Personnel Administratif",35,"Ça se compte en années",4,"Un ordinateur",1,1,"> 10",7,"Souvent","Non","En grande partie","Oui",0,25,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, parfois"
"29","Autre",24,"Entre 1 et 6 mois",8,"Un ordinateur",3,3,"> 30",3,"Souvent","Non","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Ah bonne idée"
"30","Autre",27,"Ça se compte en années",5,"Un ordinateur",3,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"31","Personnel Administratif",48,"Ça se compte en années",1,"Un ordinateur",2,2,"> 30",70,"Souvent","Non","Quasiment tous","Oui",0,350,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"32","1A",21,"Expérience > 6 mois",6,"Un smartphone",5,3,"> 10",20,"Souvent","Oui","Rarement","Oui",50,5,"Parfois","Oui","Non","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"33","Autre",23,"Expérience > 6 mois",5,"Un ordinateur",5,4,"> 10",3,"Souvent","Oui","En grande partie","Oui",1,6,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"34","3A",32,"Expérience > 6 mois",8,"Un ordinateur",4,3,"< 10",30,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Parfois","Non","Très importante","Marquer tout en lu","Oui, parfois"
"35","Personnel Administratif",51,"Ça se compte en années",1,"Un ordinateur",2,1,"> 30",25,"Souvent","Oui","En grande partie","Oui",200,40,"Oui","Parfois","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"36","Autre",28,"Ça se compte en années",8,"Un ordinateur",5,1,"> 30",20,"Rarement","Oui","Rarement","Oui",0,15,"Parfois","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"37","Personnel Administratif",44,"Ça se compte en années",2,"Un ordinateur",3,2,"> 10",20,"Souvent","Non","En grande partie","Oui",0,65,"Oui","Non","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"38","Autre",32,"Ça se compte en années",3,"Un smartphone",2,2,"< 10",10,"Souvent","Non","Quasiment tous","Oui",4,7,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"39","Autre",24,"Expérience > 6 mois",8,"Un ordinateur",4,4,"< 10",20,"Rarement","Non","Rarement","Oui",5000,10,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"40","Personnel Administratif",52,"Ça se compte en années",1,"Un ordinateur",2,1,"> 10",60,"Souvent","Non","Quasiment tous","Oui",1,100,"Oui","Non","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"41","1A",19,"Sans Expérience",5,"Un ordinateur",5,2,"< 10",7,"Rarement","Oui","Rarement","Oui",0,4,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"42","1A",20,"Sans Expérience",3,"Un smartphone",3,2,"> 10",8,"Rarement","Oui","En grande partie","Oui",0,2,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"43","Enseignant",45,"Ça se compte en années",4,"Un ordinateur",2,2,"> 10",70,"Souvent","Non","Rarement","Oui",13000,150,"Non","Parfois","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, souvent"
"45","Enseignant",45,"Ça se compte en années",8,"Un ordinateur",5,5,"> 30",40,"Rarement","Non","Rarement","Oui",0,30,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"46","Autre",26,"Entre 1 et 6 mois",3,"Un ordinateur",4,4,"> 30",10,"Souvent","Oui","En grande partie","Oui",1,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"47","1A",19,"Entre 1 et 6 mois",8,"Un ordinateur",3,2,"< 3",3,"Rarement","Oui","Rarement","Oui",0,1,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"48","Personnel Administratif",30,"Ça se compte en années",6,"Un smartphone",4,4,"< 10",5,"Souvent","Oui","En grande partie","Oui",4,10,"Oui","Parfois","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"49","1A",20,"Sans Expérience",5,"Un smartphone",3,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",6,4,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"50","1A",21,"Sans Expérience",3,"Un smartphone",3,2,"> 10",5,"Souvent","Non","Quasiment tous","Oui",4,3,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, souvent"
"51","Autre",30,"Ça se compte en années",6,"Un smartphone",5,3,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,30,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"52","1A",20,"Ça se compte en années",7,"Un smartphone",2,2,"< 3",10,"Rarement","Oui","Rarement","Non",50,2,"Parfois","Parfois","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"53","Personnel Administratif",50,"Ça se compte en années",3,"Un ordinateur",2,2,"> 10",60,"Souvent","Non","En grande partie","Oui",0,120,"Non","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"54","2A",20,"Sans Expérience",3,"Un smartphone",2,2,"< 10",15,"Rarement","Oui","Quasiment tous","Oui",0,2,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"55","Enseignant",45,"Ça se compte en années",5,"Un ordinateur",2,1,"> 10",90,"Souvent","Non","En grande partie","Oui",0,50,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"56","Enseignant",53,"Ça se compte en années",2,"Un ordinateur",3,2,"> 30",20,"Souvent","Oui","En grande partie","Oui",0,30,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"57","Personnel Administratif",31,"Ça se compte en années",2,"Un smartphone",3,2,"< 3",5,"Souvent","Non","En grande partie","Oui",5,10,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"58","1A",20,"Sans Expérience",5,"Un ordinateur",3,2,"< 10",7,"Souvent","Non","En grande partie","Oui",50,5,"Non","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"59","1A",20,"Entre 1 et 6 mois",3,"Un smartphone",3,2,"< 10",2,"Rarement","Oui","Rarement","Oui",0,3,"Oui","Parfois","Non","Pas tellement importante","Marquer tout en lu","Oui, parfois"
"60","Autre",29,"Ça se compte en années",2,"Un smartphone",8,1,"< 10",5,"Rarement","Oui","Rarement","Oui",0,3,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"61","Enseignant",53,"Ça se compte en années",1,"Un ordinateur",2,1,"> 10",80,"Souvent","Non","Quasiment tous","Oui",0,80,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"62","1A",19,"Sans Expérience",4,"Un smartphone",4,3,"< 3",10,"Rarement","Oui","Rarement","Oui",0,5,"Non","Parfois","Non","Très importante","Marquer tout en lu","Oui, parfois"
"63","1A",20,"Sans Expérience",3,"Un smartphone",3,2,"< 10",8,"Souvent","Non","En grande partie","Oui",0,4,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"64","Personnel Administratif",55,"Ça se compte en années",1,"Un ordinateur",1,1,"> 30",35,"Toujours","Non","Quasiment tous","Oui",0,55,"Oui","Non","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"65","1A",22,"Sans Expérience",5,"Un ordinateur",5,3,"< 10",15,"Souvent","Non","En grande partie","Oui",8,3,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"66","Personnel Administratif",39,"Ça se compte en années",1,"Un ordinateur",3,2,"< 3",10,"Rarement","Non","Quasiment tous","Oui",5,5,"Non","Non","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"67","1A",20,"Sans Expérience",5,"Un smartphone",3,3,"> 10",4,"Rarement","Oui","En grande partie","Oui",0,0,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"68","3A",23,"Expérience > 6 mois",6,"Un smartphone",2,2,"> 10",12,"Souvent","Oui","Quasiment tous","Oui",100,2,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"69","2A",21,"Expérience > 6 mois",10,"Un smartphone",3,3,"> 10",15,"Rarement","Oui","Rarement","Oui",0,5,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"70","1A",21,"Sans Expérience",6,"Un smartphone",6,2,"> 30",10,"Rarement","Oui","Rarement","Oui",603,2,"Parfois","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"71","Enseignant",30,"Ça se compte en années",7,"Un ordinateur",4,2,"> 30",30,"Souvent","Non","En grande partie","Oui",0,100,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"72","Autre",29,"Ça se compte en années",2,"Un ordinateur",2,2,"< 10",8,"Souvent","Non","En grande partie","Oui",2,25,"Non","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"73","1A",20,"Sans Expérience",5,"Un smartphone",3,3,"< 10",20,"Rarement","Non","En grande partie","Oui",0,1,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"74","Personnel Administratif",41,"Ça se compte en années",3,"Un ordinateur",3,2,"> 10",30,"Souvent","Non","Rarement","Oui",1107,10,"Non","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"75","3A",23,"Entre 1 et 6 mois",3,"Un ordinateur",3,2,"> 10",10,"Rarement","Non","Rarement","Oui",20,10,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"76","3A",22,"Entre 1 et 6 mois",6,"Un smartphone",3,2,"< 10",6,"Rarement","Oui","En grande partie","Oui",20,5,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"77","Personnel Administratif",24,"Expérience > 6 mois",5,"Un ordinateur",3,3,"> 10",12,"Rarement","Oui","En grande partie","Oui",5,5,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"79","2A",22,"Entre 1 et 6 mois",8,"Un smartphone",3,3,"> 10",5,"Souvent","Oui","Quasiment tous","Oui",3,1,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"80","1A",21,"Sans Expérience",6,"Un smartphone",3,3,"> 10",20,"Souvent","Non","Quasiment tous","Oui",0,2,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"81","Autre",25,"Ça se compte en années",6,"Un smartphone",4,4,"> 10",5,"Souvent","Oui","Quasiment tous","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"82","Personnel Administratif",23,"Expérience > 6 mois",7,"Un ordinateur",3,3,"> 30",15,"Souvent","Non","En grande partie","Oui",0,30,"Oui","Non","Non","Très importante","Lire tous les mails","Oui, souvent"
"83","3A",23,"Entre 1 et 6 mois",7,"Un ordinateur",3,2,"< 10",8,"Souvent","Oui","Rarement","Oui",830,5,"Oui","Parfois","Non","Pas tellement importante","Avoir 10.000 mails non lus","Ah bonne idée"
"84","1A",19,"Sans Expérience",3,"Un smartphone",3,2,"> 10",5,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"85","3A",22,"Sans Expérience",10,"Un smartphone",6,6,"> 30",30,"Rarement","Oui","Rarement","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"86","Autre",25,"Expérience > 6 mois",7,"Un ordinateur",3,2,"< 10",10,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"87","3A",22,"Entre 1 et 6 mois",5,"Un ordinateur",4,3,"> 10",30,"Souvent","Non","En grande partie","Oui",10000,2,"Parfois","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"88","Personnel Administratif",48,"Ça se compte en années",8,"Un ordinateur",4,2,"> 10",30,"Toujours","Non","Quasiment tous","Oui",0,100,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"89","Césure",22,"Entre 1 et 6 mois",6,"Un smartphone",3,1,"< 10",25,"Souvent","Oui","Quasiment tous","Oui",0,25,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"90","Autre",25,"Expérience > 6 mois",6,"Un ordinateur",3,3,"< 10",15,"Souvent","Non","Quasiment tous","Oui",0,20,"Oui","Oui","Oui","Pas tellement importante","Marquer tout en lu","Oui, parfois"
"91","1A",20,"Sans Expérience",3,"Un ordinateur",3,2,"< 10",6,"Toujours","Non","Quasiment tous","Oui",0,10,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"92","Enseignant",45,"Ça se compte en années",1,"Un ordinateur",3,2,"> 10",70,"Souvent","Oui","En grande partie","Oui",700,50,"Non","Oui","Oui","Pas tellement importante","Avoir 10.000 mails non lus","Oui, parfois"
"94","Césure",21,"Entre 1 et 6 mois",5,"Un ordinateur",3,3,"< 10",30,"Souvent","Oui","En grande partie","Oui",1200,8,"Parfois","Non","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"95","Personnel Administratif",42,"Ça se compte en années",1,"Un ordinateur",3,2,"> 30",30,"Souvent","Non","En grande partie","Oui",20,200,"Oui","Parfois","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"96","1A",22,"Ça se compte en années",8,"Un smartphone",6,4,"< 10",7,"Rarement","Non","En grande partie","Oui",500,20,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"97","3A",22,"Expérience > 6 mois",5,"Un smartphone",3,1,"> 10",6,"Souvent","Non","Quasiment tous","Oui",5,10,"Non","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"98","1A",21,"Sans Expérience",8,"Un smartphone",3,1,"< 3",10,"Rarement","Oui","Rarement","Oui",100,0,"Parfois","Oui","Non","Très importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"99","3A",24,"Expérience > 6 mois",4,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",345,5,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"100","Personnel Administratif",50,"Ça se compte en années",2,"Un ordinateur",4,1,"> 30",75,"Souvent","Non","Quasiment tous","Non",458,75,"Parfois","Non","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"101","3A",21,"Entre 1 et 6 mois",6,"Un ordinateur",4,3,"< 10",5,"Rarement","Oui","Rarement","Non",0,15,"Parfois","Parfois","Oui","Très importante","Marquer tout en lu","Oui, parfois"
