"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"102","1A",20,"Sans Expérience",6,"Un smartphone",5,2,"< 10",6,"Souvent","Oui","Quasiment tous","Oui",0,8,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"103","2A",21,"Entre 1 et 6 mois",3,"Un ordinateur",3,2,"< 3",5,"Rarement","Non","Rarement","Oui",200,1,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Ah bonne idée"
"105","2A",21,"Entre 1 et 6 mois",5,"Un smartphone",2,1,"> 10",20,"Souvent","Oui","En grande partie","Oui",200,10,"Oui","Oui","Non","Pas tellement importante","Marquer tout en lu","Oui, parfois"
"106","1A",20,"Sans Expérience",6,"Un smartphone",4,3,"> 10",25,"Souvent","Oui","En grande partie","Non",24,10,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"107","Enseignant",50,"Ça se compte en années",4,"Un ordinateur",10,5,"> 30",20,"Souvent","Non","En grande partie","Oui",0,100,"Non","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"108","2A",21,"Ça se compte en années",6,"Un ordinateur",4,1,"< 10",20,"Souvent","Non","En grande partie","Oui",904,10,"Parfois","Oui","Oui","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"109","Autre",31,"Ça se compte en années",5,"Un ordinateur",4,2,"> 10",15,"Souvent","Non","En grande partie","Oui",0,30,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"110","Personnel Administratif",30,"Ça se compte en années",4,"Un ordinateur",4,3,"> 10",30,"Souvent","Oui","En grande partie","Oui",3,100,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"111","3A",22,"Entre 1 et 6 mois",6,"Un smartphone",4,2,"< 10",7,"Rarement","Oui","Rarement","Oui",600,4,"Oui","Oui","Non","Pas tellement importante","Lire tous les mails","Ah bonne idée"
"112","1A",21,"Entre 1 et 6 mois",5,"Un ordinateur",4,3,"< 10",5,"Souvent","Oui","Quasiment tous","Oui",0,10,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"113","1A",21,"Entre 1 et 6 mois",7,"Un smartphone",3,2,"> 10",10,"Rarement","Oui","Rarement","Oui",1600,3,"Parfois","Oui","Non","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"114","2A",22,"Entre 1 et 6 mois",5,"Un ordinateur",2,2,"< 10",4,"Souvent","Non","Quasiment tous","Oui",200,10,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"115","Césure",21,"Entre 1 et 6 mois",4,"Un ordinateur",4,3,"< 3",5,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"116","3A",21,"Expérience > 6 mois",5,"Un smartphone",4,2,"< 3",3,"Souvent","Non","Rarement","Oui",200,10,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"118","2A",21,"Entre 1 et 6 mois",4,"Un smartphone",3,2,"> 10",5,"Souvent","Oui","Quasiment tous","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"119","3A",21,"Ça se compte en années",7,"Un ordinateur",5,4,"> 10",7,"Souvent","Oui","Quasiment tous","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"120","1A",19,"Sans Expérience",3,"Un smartphone",4,3,"< 10",6,"Rarement","Oui","Rarement","Oui",0,3,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"121","2A",20,"Entre 1 et 6 mois",5,"Un ordinateur",2,2,"< 10",5,"Souvent","Oui","En grande partie","Oui",0,1,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"122","3A",24,"Entre 1 et 6 mois",4,"Un smartphone",3,3,"< 10",3,"Souvent","Oui","Rarement","Oui",0,3,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"123","Autre",36,"Ça se compte en années",10,"Un ordinateur",3,3,"> 30",300,"Souvent","Oui","Rarement","Oui",0,50,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"124","3A",23,"Sans Expérience",3,"Un smartphone",3,1,"> 10",10,"Souvent","Oui","En grande partie","Oui",1000,5,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"125","2A",22,"Entre 1 et 6 mois",6,"Un smartphone",4,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"126","3A",23,"Entre 1 et 6 mois",6,"Un ordinateur",2,2,"< 3",9,"Rarement","Non","Rarement","Oui",0,3,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"127","3A",23,"Expérience > 6 mois",2,"Un ordinateur",3,2,"< 3",5,"Rarement","Non","Rarement","Non",2020,2,"Parfois","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"128","2A",21,"Entre 1 et 6 mois",8,"Un smartphone",3,2,"> 10",10,"Rarement","Oui","En grande partie","Oui",0,3,"Non","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"129","Master",25,"Expérience > 6 mois",5,"Un smartphone",4,2,"< 10",4,"Rarement","Oui","En grande partie","Oui",2,3,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Ah bonne idée"
"130","3A",21,"Entre 1 et 6 mois",10,"Un smartphone",3,2,"< 10",7,"Souvent","Oui","Rarement","Oui",90,1,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"131","2A",20,"Entre 1 et 6 mois",4,"Un smartphone",3,5,"< 10",5,"Souvent","Oui","Quasiment tous","Oui",0,1,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"132","Enseignant",55,"Ça se compte en années",8,"Un ordinateur",3,3,"> 10",60,"Rarement","Non","Rarement","Oui",114,60,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"133","Enseignant",50,"Ça se compte en années",7,"Un ordinateur",3,2,"> 10",50,"Souvent","Non","Quasiment tous","Oui",6,200,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, souvent"
"134","Enseignant",44,"Ça se compte en années",6,"Un ordinateur",2,2,"> 10",20,"Souvent","Oui","En grande partie","Oui",25,50,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"135","2A",20,"Entre 1 et 6 mois",4,"Un ordinateur",3,2,"< 10",5,"Souvent","Non","Quasiment tous","Oui",150,5,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Ah bonne idée"
"136","Césure",23,"Entre 1 et 6 mois",12,"Un smartphone",4,4,"> 30",25,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"137","3A",22,"Sans Expérience",4,"Un ordinateur",5,3,"< 10",10,"Souvent","Non","En grande partie","Oui",10,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"138","Autre",39,"Entre 1 et 6 mois",5,"Un ordinateur",5,3,"> 30",15,"Souvent","Non","En grande partie","Oui",20,50,"Oui","Non","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"139","Master",34,"Ça se compte en années",4,"Un smartphone",3,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"140","Personnel Administratif",48,"Ça se compte en années",6,"Un ordinateur",3,3,"> 30",50,"Rarement","Oui","En grande partie","Oui",30,20,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"141","2A",21,"Expérience > 6 mois",3,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,5,"Non","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"142","Master",23,"Entre 1 et 6 mois",5,"Un ordinateur",4,2,"< 10",4,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"143","3A",21,"Entre 1 et 6 mois",5,"Un smartphone",2,1,"> 10",9,"Rarement","Oui","Rarement","Non",200,10,"Parfois","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"144","2A",21,"Sans Expérience",5,"Un smartphone",3,0,"< 3",5,"Rarement","Oui","Rarement","Oui",0,1,"Non","Parfois","Non","Très importante","Marquer tout en lu","Oui, parfois"
"145","2A",19,"Entre 1 et 6 mois",6,"Un smartphone",4,4,"> 10",20,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"146","3A",24,"Expérience > 6 mois",2,"Un smartphone",3,2,"< 10",5,"Souvent","Oui","En grande partie","Oui",20,3,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"147","3A",23,"Expérience > 6 mois",7,"Un ordinateur",6,6,"> 10",3,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"149","Personnel Administratif",48,"Ça se compte en années",3,"Un ordinateur",2,2,"> 30",50,"Souvent","Oui","Rarement","Non",500,50,"Non","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"150","Autre",23,"Entre 1 et 6 mois",6,"Un ordinateur",4,3,"> 10",20,"Rarement","Oui","Rarement","Oui",0,10,"Oui","Non","Non","Pas tellement importante","Lire tous les mails","Oui, parfois"
"151","3A",22,"Entre 1 et 6 mois",6,"Un smartphone",3,2,"< 10",10,"Souvent","Oui","Rarement","Oui",10,1,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"152","3A",23,"Entre 1 et 6 mois",8,"Un ordinateur",3,4,"< 10",8,"Souvent","Non","En grande partie","Oui",0,2,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"153","Autre",26,"Ça se compte en années",8,"Un ordinateur",6,2,"> 30",30,"Rarement","Oui","Rarement","Oui",3511,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"154","Enseignant",33,"Ça se compte en années",9,"Un ordinateur",6,6,"> 30",80,"Souvent","Oui","Quasiment tous","Oui",0,60,"Oui","Oui","Non","Pas tellement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"155","Master",24,"Sans Expérience",10,"Un smartphone",3,2,"> 30",10,"Souvent","Oui","En grande partie","Oui",0,20,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"156","2A",23,"Ça se compte en années",7,"Un ordinateur",3,3,"< 10",4,"Souvent","Non","En grande partie","Oui",10,1,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"157","3A",23,"Entre 1 et 6 mois",8,"Un ordinateur",2,2,"< 10",10,"Rarement","Non","Rarement","Oui",1200,2,"Parfois","Parfois","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, souvent"
"158","Master",24,"Sans Expérience",9,"Un smartphone",2,2,"< 10",3,"Souvent","Oui","En grande partie","Oui",50,3,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"159","3A",22,"Entre 1 et 6 mois",3,"Un smartphone",3,2,"< 10",4,"Rarement","Oui","En grande partie","Non",2066,1,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"160","3A",23,"Entre 1 et 6 mois",5,"Un ordinateur",2,1,"< 10",3,"Souvent","Non","Rarement","Oui",0,1,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"161","2A",21,"Ça se compte en années",6,"Un smartphone",5,3,"< 10",10,"Souvent","Oui","En grande partie","Oui",5,5,"Non","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"163","Personnel Administratif",40,"Ça se compte en années",2,"Un ordinateur",2,2,"> 10",15,"Rarement","Oui","Rarement","Oui",3,80,"Oui","Parfois","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"164","Personnel Administratif",28,"Ça se compte en années",4,"Un smartphone",1,1,"< 10",30,"Souvent","Non","Quasiment tous","Oui",10,100,"Oui","Non","Non","Très importante","Lire tous les mails","Oui, souvent"
"165","3A",22,"Entre 1 et 6 mois",7,"Un ordinateur",3,2,"< 3",3,"Souvent","Non","Rarement","Oui",33,0,"Oui","Parfois","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"166","2A",21,"Entre 1 et 6 mois",3,"Un smartphone",2,2,"< 10",5,"Rarement","Non","Rarement","Oui",0,4,"Non","Oui","Non","Très importante","Marquer tout en lu","Oui, souvent"
"167","2A",22,"Expérience > 6 mois",2,"Un smartphone",5,2,"< 3",10,"Rarement","Oui","Rarement","Oui",10,2,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"168","Enseignant",28,"Expérience > 6 mois",6,"Un ordinateur",4,3,"< 10",15,"Rarement","Non","En grande partie","Oui",0,12,"Parfois","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"169","1A",20,"Entre 1 et 6 mois",8,"Un ordinateur",3,3,"< 10",10,"Rarement","Oui","Rarement","Oui",0,3,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"170","Personnel Administratif",30,"Ça se compte en années",8,"Un ordinateur",5,5,"< 10",20,"Souvent","Non","En grande partie","Oui",10,80,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, parfois"
"171","Personnel Administratif",54,"Ça se compte en années",6,"Un ordinateur",4,4,"> 30",100,"Souvent","Non","En grande partie","Non",5,40,"Non","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"172","3A",22,"Sans Expérience",7,"Un smartphone",3,2,"< 10",7,"Souvent","Oui","En grande partie","Oui",0,2,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"173","Autre",23,"Expérience > 6 mois",5,"Un ordinateur",7,6,"< 10",10,"Souvent","Non","En grande partie","Oui",0,2,"Oui","Oui","Non","Pas tellement importante","Lire tous les mails","Oui, parfois"
"174","1A",20,"Sans Expérience",6,"Un smartphone",2,1,"< 10",10,"Souvent","Oui","En grande partie","Oui",10,1,"Parfois","Parfois","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"175","Master",23,"Sans Expérience",12,"Un smartphone",3,3,"< 3",3,"Souvent","Non","En grande partie","Non",1,3,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"176","1A",21,"Expérience > 6 mois",5,"Un smartphone",4,2,"< 10",6,"Souvent","Oui","En grande partie","Oui",100,2,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"177","3A",21,"Entre 1 et 6 mois",2,"Un smartphone",4,3,"< 10",10,"Rarement","Oui","Quasiment tous","Non",2000,10,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"178","3A",22,"Expérience > 6 mois",5,"Un smartphone",2,2,"> 10",40,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"179","Césure",22,"Expérience > 6 mois",7,"Un smartphone",5,3,"> 10",20,"Souvent","Non","En grande partie","Oui",2,35,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"180","Enseignant",52,"Ça se compte en années",2,"Un ordinateur",2,1,"> 10",20,"Souvent","Oui","En grande partie","Oui",10,20,"Oui","Parfois","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"181","3A",23,"Expérience > 6 mois",6,"Un smartphone",5,4,"> 10",10,"Souvent","Non","En grande partie","Oui",0,5,"Non","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"182","3A",22,"Entre 1 et 6 mois",7,"Un ordinateur",3,2,"< 3",5,"Rarement","Oui","Rarement","Oui",100,5,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"183","3A",22,"Entre 1 et 6 mois",3,"Un smartphone",4,2,"< 10",5,"Souvent","Oui","En grande partie","Oui",3,2,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"184","3A",22,"Entre 1 et 6 mois",2,"Un ordinateur",3,2,"< 3",5,"Souvent","Non","En grande partie","Oui",25,15,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"185","Master",26,"Ça se compte en années",5,"Un ordinateur",1,1,"< 10",10,"Souvent","Oui","Quasiment tous","Oui",0,2,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"186","Enseignant",53,"Ça se compte en années",3,"Un ordinateur",3,3,"> 30",50,"Souvent","Non","En grande partie","Oui",14300,50,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"187","1A",19,"Sans Expérience",4,"Un smartphone",4,3,"< 10",5,"Rarement","Oui","Quasiment tous","Oui",0,5,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"188","Enseignant",40,"Ça se compte en années",1,"Un ordinateur",7,7,"< 10",50,"Souvent","Non","En grande partie","Oui",100,40,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"189","1A",20,"Sans Expérience",5,"Un smartphone",4,3,"< 10",80,"Rarement","Oui","Rarement","Non",3000,3,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"190","1A",21,"Sans Expérience",6,"Un smartphone",10,4,"< 10",10,"Rarement","Oui","Rarement","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"191","Personnel Administratif",47,"Ça se compte en années",1,"Un ordinateur",2,2,"> 10",20,"Souvent","Non","En grande partie","Oui",60,20,"Oui","Parfois","Oui","Très importante","Marquer tout en lu","Ah bonne idée"
"192","Master",22,"Expérience > 6 mois",5,"Un smartphone",3,3,"> 10",5,"Toujours","Oui","En grande partie","Oui",100,10,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"193","3A",21,"Entre 1 et 6 mois",10,"Un ordinateur",4,3,"> 10",10,"Souvent","Oui","En grande partie","Oui",3,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"194","Autre",29,"Ça se compte en années",10,"Un ordinateur",4,2,"< 10",15,"Rarement","Non","Rarement","Oui",249,20,"Parfois","Parfois","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"195","Enseignant",65,"Ça se compte en années",3,"Un smartphone",3,3,"> 10",50,"Souvent","Oui","Rarement","Oui",80,50,"Oui","Non","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"196","3A",21,"Entre 1 et 6 mois",5,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"197","1A",19,"Sans Expérience",3,"Un smartphone",2,1,"> 10",10,"Souvent","Non","Quasiment tous","Oui",15,2,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"199","2A",21,"Entre 1 et 6 mois",5,"Un ordinateur",3,2,"< 10",10,"Souvent","Non","Quasiment tous","Oui",0,30,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"200","2A",21,"Sans Expérience",2,"Un smartphone",4,2,"< 3",5,"Rarement","Non","Rarement","Oui",100,1,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"201","2A",21,"Expérience > 6 mois",5,"Un smartphone",3,2,"> 10",10,"Rarement","Oui","Rarement","Oui",500,50,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"202","Enseignant",41,"Ça se compte en années",3,"Un ordinateur",3,2,"> 10",50,"Rarement","Oui","En grande partie","Oui",0,50,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"203","3A",24,"Expérience > 6 mois",6,"Un smartphone",2,2,"< 10",6,"Rarement","Oui","Rarement","Oui",1929,8,"Parfois","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"204","3A",24,"Entre 1 et 6 mois",6,"Un smartphone",3,1,"< 3",5,"Souvent","Oui","Rarement","Oui",636,0,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, souvent"
"205","3A",23,"Expérience > 6 mois",1,"Un ordinateur",3,3,"< 3",1,"Rarement","Oui","En grande partie","Oui",0,1,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Ah bonne idée"
"206","2A",22,"Entre 1 et 6 mois",4,"Un smartphone",2,2,"< 3",10,"Rarement","Oui","Rarement","Non",0,10,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
