"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"318","1A",21,"Sans Expérience",4,"Un smartphone",3,2,"< 3",8,"Souvent","Oui","Rarement","Oui",2,1,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"319","1A",20,"Entre 1 et 6 mois",3,"Un smartphone",3,2,"< 10",8,"Souvent","Oui","Rarement","Oui",4,3,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"320","2A",21,"Entre 1 et 6 mois",4,"Un ordinateur",2,2,"< 3",2,"Souvent","Oui","Rarement","Oui",0,1,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"321","1A",20,"Sans Expérience",3,"Un smartphone",4,2,"< 3",40,"Souvent","Non","En grande partie","Oui",35,5,"Parfois","Parfois","Non","Relativement importante","Avoir 10.000 mails non lus","Ah bonne idée"
"322","Master",23,"Entre 1 et 6 mois",3,"Un smartphone",2,2,"< 10",10,"Rarement","Oui","En grande partie","Oui",15,3,"Oui","Parfois","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"323","2A",21,"Sans Expérience",2,"Un ordinateur",3,3,"< 3",7,"Rarement","Non","En grande partie","Oui",0,1,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"324","1A",20,"Entre 1 et 6 mois",3,"Un ordinateur",2,2,"< 3",10,"Souvent","Non","Rarement","Oui",15,3,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"325","1A",19,"Sans Expérience",3,"Un smartphone",2,2,"< 10",4,"Souvent","Non","En grande partie","Oui",300,1,"Parfois","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"327","3A",22,"Entre 1 et 6 mois",5,"Un smartphone",5,3,"< 10",5,"Souvent","Oui","En grande partie","Oui",3,2,"Non","Parfois","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"329","2A",23,"Expérience > 6 mois",5,"Un ordinateur",5,2,"< 3",20,"Souvent","Non","Rarement","Oui",0,5,"Non","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"330","2A",21,"Entre 1 et 6 mois",6,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",30,2,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"331","2A",21,"Entre 1 et 6 mois",6,"Un ordinateur",2,2,"> 10",3,"Souvent","Non","Quasiment tous","Oui",0,1,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"332","1A",19,"Entre 1 et 6 mois",2,"Un smartphone",4,3,"< 10",50,"Souvent","Non","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"333","2A",23,"Ça se compte en années",8,"Un ordinateur",3,3,"< 10",5,"Souvent","Oui","En grande partie","Oui",100,4,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"334","1A",19,"Sans Expérience",4,"Un smartphone",2,2,"< 3",1,"Rarement","Oui","Rarement","Non",4,0,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"335","3A",22,"Entre 1 et 6 mois",5,"Un smartphone",3,3,"> 10",15,"Rarement","Non","Rarement","Non",85,15,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"336","Césure",22,"Entre 1 et 6 mois",5,"Un smartphone",5,4,"> 30",10,"Souvent","Oui","Quasiment tous","Oui",0,20,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"337","1A",20,"Sans Expérience",4,"Un smartphone",3,3,"< 3",5,"Rarement","Oui","Rarement","Oui",0,2,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"338","Autre",25,"Ça se compte en années",10,"Un ordinateur",1,1,"< 10",30,"Souvent","Oui","En grande partie","Oui",5,15,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"339","Master",35,"Expérience > 6 mois",5,"Un ordinateur",3,2,"> 30",4,"Souvent","Non","En grande partie","Oui",0,30,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"340","2A",22,"Entre 1 et 6 mois",5,"Un ordinateur",2,2,"< 10",10,"Rarement","Oui","Rarement","Oui",10000,1,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"341","1A",21,"Entre 1 et 6 mois",5,"Un ordinateur",2,2,"< 10",10,"Rarement","Non","Quasiment tous","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"342","3A",21,"Entre 1 et 6 mois",3,"Un ordinateur",2,2,"< 3",5,"Rarement","Non","Rarement","Oui",797,5,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"344","2A",22,"Entre 1 et 6 mois",4,"Un smartphone",2,2,"> 30",5,"Souvent","Oui","Rarement","Oui",3000,10,"Parfois","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"345","2A",22,"Sans Expérience",4,"Un ordinateur",3,2,"< 3",4,"Souvent","Non","En grande partie","Non",9,2,"Oui","Parfois","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"346","3A",24,"Expérience > 6 mois",4,"Un smartphone",2,2,"< 10",8,"Souvent","Oui","Quasiment tous","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"347","Autre",47,"Ça se compte en années",1,"Un ordinateur",2,2,"< 10",5,"Rarement","Non","Rarement","Oui",20,10,"Oui","Non","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"348","Personnel Administratif",56,"Ça se compte en années",2,"Un ordinateur",2,2,"> 30",60,"Souvent","Oui","En grande partie","Oui",20,100,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"349","2A",21,"Ça se compte en années",4,"Un smartphone",3,2,"< 3",6,"Rarement","Oui","Rarement","Non",100,2,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"350","2A",21,"Expérience > 6 mois",8,"Un smartphone",3,2,"< 10",10,"Rarement","Oui","En grande partie","Oui",5,2,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"351","Personnel Administratif",34,"Ça se compte en années",5,"Un smartphone",4,4,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,30,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"352","3A",22,"Ça se compte en années",9,"Un ordinateur",4,2,"< 10",2,"Rarement","Oui","Rarement","Oui",100,5,"Parfois","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"353","Personnel Administratif",34,"Ça se compte en années",2,"Un ordinateur",2,1,"> 30",100,"Souvent","Oui","En grande partie","Oui",50,70,"Oui","Non","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"354","3A",21,"Expérience > 6 mois",6,"Un ordinateur",3,1,"< 10",3,"Souvent","Oui","Quasiment tous","Oui",0,2,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"355","3A",22,"Ça se compte en années",5,"Un ordinateur",3,2,"< 3",6,"Rarement","Oui","Quasiment tous","Oui",20,3,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"356","3A",22,"Ça se compte en années",8,"Un ordinateur",3,2,"< 3",20,"Souvent","Non","Rarement","Non",90,8,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"357","2A",21,"Expérience > 6 mois",6,"Un smartphone",5,2,"< 3",2,"Souvent","Oui","Rarement","Oui",300,1,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"358","Personnel Administratif",36,"Ça se compte en années",8,"Un ordinateur",3,1,"> 30",30,"Souvent","Non","En grande partie","Oui",5,60,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"359","2A",21,"Entre 1 et 6 mois",5,"Un smartphone",3,3,"< 10",3,"Rarement","Oui","Rarement","Oui",10,1,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"360","1A",20,"Sans Expérience",3,"Un smartphone",3,2,"< 10",5,"Souvent","Non","En grande partie","Oui",0,0,"Parfois","Oui","Non","Pas tellement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"361","Autre",32,"Ça se compte en années",8,"Un ordinateur",5,2,"> 30",60,"Souvent","Oui","En grande partie","Oui",13100,15,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"362","Autre",23,"Expérience > 6 mois",5,"Un smartphone",4,4,"< 10",6,"Souvent","Oui","Rarement","Oui",70,2,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"363","2A",21,"Entre 1 et 6 mois",2,"Un ordinateur",6,2,"< 10",10,"Rarement","Non","Rarement","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"364","3A",22,"Entre 1 et 6 mois",10,"Un smartphone",3,3,"< 10",10,"Souvent","Non","Quasiment tous","Oui",0,2,"Non","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"365","3A",24,"Expérience > 6 mois",6,"Un smartphone",4,2,"> 10",15,"Rarement","Oui","En grande partie","Oui",1000,5,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"366","Enseignant",62,"Ça se compte en années",4,"Un ordinateur",3,3,"> 10",30,"Souvent","Oui","En grande partie","Oui",0,20,"Oui","Non","Non","Relativement importante","Marquer tout en lu","Oui, souvent"
"367","1A",18,"Entre 1 et 6 mois",3,"Un smartphone",3,2,"< 10",9,"Rarement","Oui","Rarement","Oui",25,3,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"368","3A",24,"Expérience > 6 mois",5,"Un smartphone",3,3,"> 10",20,"Souvent","Non","En grande partie","Oui",9110,7,"Oui","Oui","Oui","Pas tellement importante","Avoir 10.000 mails non lus","Oui, souvent"
"369","Master",28,"Ça se compte en années",2,"Un smartphone",3,2,"< 10",5,"Rarement","Oui","Rarement","Oui",0,5,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"370","Enseignant",62,"Ça se compte en années",7,"Un ordinateur",9,2,"> 30",200,"Souvent","Non","En grande partie","Oui",700,100,"Non","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"371","Enseignant",26,"Ça se compte en années",2,"Un ordinateur",3,2,"> 10",10,"Rarement","Non","En grande partie","Oui",0,10,"Oui","Parfois","Oui","Pas tellement importante","Lire tous les mails","Oui, parfois"
"372","3A",22,"Expérience > 6 mois",8,"Un smartphone",7,7,"> 30",5,"Rarement","Oui","Rarement","Oui",300,5,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"373","Autre",42,"Ça se compte en années",2,"Un ordinateur",3,2,"> 10",20,"Souvent","Non","En grande partie","Oui",10,150,"Oui","Parfois","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"374","1A",19,"Sans Expérience",2,"Un smartphone",2,1,"< 10",5,"Souvent","Oui","En grande partie","Oui",2,1,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"375","Autre",37,"Ça se compte en années",2,"Un ordinateur",2,2,"> 10",30,"Souvent","Non","Quasiment tous","Oui",0,50,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"376","1A",21,"Entre 1 et 6 mois",6,"Un smartphone",5,4,"> 10",10,"Rarement","Oui","Rarement","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"377","3A",22,"Sans Expérience",5,"Un smartphone",2,2,"< 10",5,"Rarement","Oui","En grande partie","Oui",10,2,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"378","2A",21,"Entre 1 et 6 mois",4,"Un smartphone",3,2,"< 10",4,"Souvent","Oui","Quasiment tous","Oui",3,2,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"379","3A",22,"Entre 1 et 6 mois",3,"Un smartphone",5,3,"< 10",2,"Souvent","Non","En grande partie","Oui",0,15,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"380","Master",23,"Ça se compte en années",4,"Un smartphone",4,3,"< 10",5,"Souvent","Oui","En grande partie","Oui",2,3,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"381","2A",21,"Sans Expérience",5,"Un smartphone",4,4,"> 10",5,"Souvent","Non","En grande partie","Oui",0,5,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"382","2A",21,"Sans Expérience",5,"Un ordinateur",4,2,"< 10",5,"Rarement","Non","En grande partie","Oui",40,2,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"383","1A",20,"Entre 1 et 6 mois",4,"Un smartphone",7,5,"< 10",10,"Souvent","Non","Rarement","Oui",200,1,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"384","Personnel Administratif",57,"Ça se compte en années",5,"Un ordinateur",3,3,"> 10",50,"Souvent","Non","En grande partie","Oui",0,120,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"385","2A",21,"Sans Expérience",3,"Un smartphone",2,2,"< 3",10,"Souvent","Oui","En grande partie","Oui",10,5,"Oui","Parfois","Oui","Très importante","Lire tous les mails","Oui, souvent"
"386","Césure",23,"Entre 1 et 6 mois",8,"Un ordinateur",3,3,"< 3",5,"Souvent","Oui","En grande partie","Oui",9,7,"Oui","Parfois","Non","Pas tellement importante","Marquer tout en lu","Oui, parfois"
"387","3A",23,"Expérience > 6 mois",7,"Un smartphone",3,2,"> 10",10,"Souvent","Non","En grande partie","Oui",0,4,"Oui","Oui","Oui","Pas tellement importante","Lire tous les mails","Oui, parfois"
"388","1A",20,"Sans Expérience",5,"Un smartphone",2,2,"> 10",10,"Souvent","Non","En grande partie","Non",0,4,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"389","Master",23,"Expérience > 6 mois",3,"Un smartphone",3,1,"< 10",10,"Souvent","Non","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"390","Master",22,"Sans Expérience",4,"Un ordinateur",4,2,"< 10",10,"Souvent","Oui","Rarement","Oui",1321,1,"Oui","Oui","Non","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"391","Enseignant",35,"Ça se compte en années",7,"Un ordinateur",8,4,"> 10",20,"Rarement","Oui","Rarement","Oui",0,15,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"392","Master",26,"Ça se compte en années",5,"Un smartphone",3,4,"< 10",12,"Souvent","Oui","En grande partie","Oui",94,12,"Parfois","Oui","Oui","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"393","3A",24,"Expérience > 6 mois",3,"Un ordinateur",3,2,"< 10",3,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"394","2A",23,"Expérience > 6 mois",4,"Un smartphone",3,2,"< 3",10,"Rarement","Oui","Rarement","Oui",1000,3,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"395","Master",25,"Expérience > 6 mois",5,"Un ordinateur",2,2,"< 3",20,"Toujours","Oui","Quasiment tous","Oui",112,1,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, souvent"
"396","2A",24,"Ça se compte en années",6,"Un ordinateur",3,3,"< 10",4,"Souvent","Oui","Rarement","Oui",100,2,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"397","2A",21,"Sans Expérience",3,"Un ordinateur",3,3,"< 10",5,"Rarement","Oui","Rarement","Oui",500,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"398","3A",23,"Expérience > 6 mois",6,"Un smartphone",3,3,"> 10",10,"Rarement","Oui","En grande partie","Oui",100,20,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"399","3A",22,"Expérience > 6 mois",2,"Un smartphone",4,3,"< 10",10,"Souvent","Non","Rarement","Non",5,4,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"400","3A",24,"Expérience > 6 mois",2,"Un ordinateur",2,2,"< 3",10,"Rarement","Non","Quasiment tous","Oui",10,3,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"401","Master",25,"Expérience > 6 mois",5,"Un smartphone",2,1,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,70,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"402","3A",21,"Entre 1 et 6 mois",7,"Un smartphone",4,2,"< 3",20,"Rarement","Oui","Rarement","Oui",40,2,"Non","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"403","2A",21,"Entre 1 et 6 mois",5,"Un smartphone",3,3,"< 3",5,"Rarement","Non","En grande partie","Oui",300,1,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"404","2A",21,"Ça se compte en années",10,"Un ordinateur",3,3,"> 10",5,"Souvent","Oui","Quasiment tous","Oui",0,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"405","3A",24,"Ça se compte en années",10,"Un smartphone",3,2,"< 3",8,"Rarement","Oui","Quasiment tous","Oui",0,18,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"406","3A",25,"Expérience > 6 mois",8,"Un smartphone",5,4,"> 10",10,"Souvent","Oui","Rarement","Non",50,15,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, souvent"
"407","3A",22,"Expérience > 6 mois",5,"Un ordinateur",3,1,"< 3",15,"Souvent","Oui","Quasiment tous","Oui",30,5,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"408","1A",20,"Entre 1 et 6 mois",4,"Un smartphone",3,2,"< 3",5,"Rarement","Non","Rarement","Oui",24,1,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"409","2A",20,"Entre 1 et 6 mois",6,"Un smartphone",3,2,"< 3",2,"Rarement","Oui","Rarement","Oui",443,0,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"410","3A",23,"Entre 1 et 6 mois",3,"Un smartphone",3,3,"< 10",15,"Souvent","Non","Rarement","Oui",0,10,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"411","1A",20,"Entre 1 et 6 mois",5,"Un ordinateur",4,2,"< 3",1,"Souvent","Oui","Quasiment tous","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"412","Enseignant",35,"Ça se compte en années",5,"Un smartphone",5,2,"< 10",15,"Souvent","Non","En grande partie","Oui",400,50,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"413","3A",23,"Expérience > 6 mois",4,"Un smartphone",3,2,"> 10",10,"Souvent","Oui","Rarement","Oui",200,10,"Non","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"414","1A",21,"Ça se compte en années",2,"Un smartphone",4,2,"< 3",5,"Rarement","Oui","Rarement","Oui",200,1,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"415","2A",21,"Expérience > 6 mois",5,"Un smartphone",5,5,"< 10",7,"Rarement","Oui","En grande partie","Oui",10,10,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"416","3A",22,"Entre 1 et 6 mois",6,"Un ordinateur",4,3,"< 10",10,"Toujours","Oui","En grande partie","Oui",1000,5,"Oui","Non","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"417","2A",20,"Entre 1 et 6 mois",4,"Un smartphone",3,1,"< 3",5,"Souvent","Non","En grande partie","Oui",0,2,"Non","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"418","1A",20,"Ça se compte en années",6,"Un smartphone",2,2,"> 10",5,"Souvent","Oui","En grande partie","Oui",1,15,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"419","Master",27,"Sans Expérience",2,"Un smartphone",4,3,"> 10",8,"Rarement","Oui","Rarement","Oui",38,5,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"420","3A",22,"Entre 1 et 6 mois",5,"Un ordinateur",3,1,"< 10",10,"Souvent","Non","En grande partie","Oui",6,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"421","1A",20,"Sans Expérience",5,"Un smartphone",2,2,"< 10",10,"Souvent","Non","En grande partie","Oui",20,3,"Parfois","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"422","2A",21,"Entre 1 et 6 mois",4,"Un smartphone",3,3,"< 3",5,"Rarement","Non","Rarement","Oui",100,2,"Oui","Parfois","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
